,location,type,comparable price,id,url,position,city,address,bathrooms,bedrooms,beds,Wifi,Free parking,Pets,Breakfast,isSuperhost,rareFind,base_price per night,base_price total,Cleaning fee,Airbnb service fee,Taxes,Special offer,Long stay discount,rate,total,persons,reviewsCount,rating
0,Disentis,Entire rental unit,63.5,944905850035322493,https://www.airbnb.com/rooms/944905850035322493,8,Disentis,"Disentis, Grisons, Switzerland",1.0,1,2.0,True,True,False,False,False,False,254 ,508,0.0,0.0,0.0,0.0,0.0,254,508,4,2,
1,Disentis,Entire vacation home,40.25,35456886,https://www.airbnb.com/rooms/35456886,30,Disentis/Mustér,"Disentis/Mustér, Grigioni, Switzerland",3.0,9,30.0,True,True,False,False,True,False,400 ,800,300.0,185.0,3.0,0.0,0.0,644,1288,16,16,4.94
2,Disentis,Entire condo,43.75,53413707,https://www.airbnb.com/rooms/53413707,32,Disentis/Mustér,"Disentis/Mustér, Graubünden, Switzerland",1.0,1,2.0,True,True,False,False,False,False,100 ,200,100.0,50.0,0.0,0.0,0.0,175,350,4,2,
3,Les Mosses,Entire rental unit,55.5,43662752,https://www.airbnb.com/rooms/43662752,4,Les Mosses,"Les Mosses, Switzerland",1.0,1,4.0,True,True,True,False,False,False,222 ,443,0.0,0.0,0.0,0.0,0.0,222,443,4,10,4.6
4,Les Mosses,Entire rental unit,35.166666666666664,665578890358044940,https://www.airbnb.com/rooms/665578890358044940,5,Ormont-Dessous,"Ormont-Dessous, Vaud, Switzerland",1.5,3,5.0,False,True,False,False,False,False,211 ,422,0.0,0.0,0.0,0.0,0.0,211,422,6,0,
5,Les Mosses,Entire condo,28.142857142857142,649234088207348776,https://www.airbnb.com/rooms/649234088207348776,6,Ormont-Dessous,"Ormont-Dessous, Waadt, Switzerland",1.0,2,4.0,True,True,False,False,False,False,96 ,192,144.0,57.0,0.0,0.0,0.0,197,393,7,5,4.4
6,Les Mosses,Entire rental unit,50.8,44316709,https://www.airbnb.com/rooms/44316709,10,Les Mosses,"Les Mosses, Switzerland",1.0,2,4.0,True,False,False,False,False,False,254 ,507,0.0,0.0,0.0,0.0,0.0,254,507,5,3,4.67
7,Flumserberg,Entire condo,45.25,994786140874936813,https://www.airbnb.com/rooms/994786140874936813,2,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,2.0,True,True,True,True,False,False,125 ,250,60.0,52.0,0.0,0.0,0.0,181,362,4,2,
8,Flumserberg,Camper/RV,56.0,1013609918332875992,https://www.airbnb.com/rooms/1013609918332875992,3,Flumserberg,"Flumserberg, Sankt Gallen, Switzerland",1.0,1,1.0,True,False,False,False,True,False,120 ,240,0.0,32.0,0.0,48.0,0.0,112,224,2,0,
9,Flumserberg,Entire rental unit,39.75,689453006515554734,https://www.airbnb.com/rooms/689453006515554734,4,Flums,"Flums, Sankt Gallen, Switzerland",1.0,2,4.0,True,True,False,False,True,False,159 ,317,0.0,0.0,0.0,0.0,0.0,159,317,4,10,4.9
10,Flumserberg,Entire rental unit,60.833333333333336,999158934031412554,https://www.airbnb.com/rooms/999158934031412554,7,Flums,"Flums, Sankt Gallen, Switzerland",1.0,3,4.0,True,True,False,False,False,False,230 ,460,160.0,104.0,5.0,0.0,0.0,365,729,6,0,
11,Flumserberg,Entire home,29.25,817768964100509815,https://www.airbnb.com/rooms/817768964100509815,8,Flums,"Flums, Sankt Gallen, Switzerland",2.0,5,9.0,False,True,False,False,True,False,225 ,450,150.0,101.0,0.0,0.0,0.0,351,701,12,22,5.0
12,Flumserberg,Tiny home,55.5,661458787233201495,https://www.airbnb.com/rooms/661458787233201495,9,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,2.0,False,True,False,False,True,False,160 ,320,60.0,64.0,0.0,0.0,0.0,222,444,4,97,5.0
13,Flumserberg,Entire home,56.25,949827545932621081,https://www.airbnb.com/rooms/949827545932621081,10,Flumserberg-Tannenheim,"Flumserberg-Tannenheim, St. Gallen, Switzerland",1.0,2,5.0,True,True,True,False,False,False,140 ,280,100.0,64.0,5.0,0.0,0.0,225,449,4,1,
14,Flumserberg,Entire rental unit,44.666666666666664,749113621155352521,https://www.airbnb.com/rooms/749113621155352521,13,Quarten,"Quarten, Sankt Gallen, Switzerland",2.5,3,8.0,True,True,True,False,True,False,179 ,358,100.0,77.0,0.0,0.0,0.0,268,535,6,24,4.92
15,Flumserberg,Entire rental unit,62.0,938091131091972972,https://www.airbnb.com/rooms/938091131091972972,14,Flumserberg,"Flumserberg, St. Gallen, Switzerland",1.0,1,1.0,True,True,False,False,False,False,160 ,320,100.0,71.0,5.0,0.0,0.0,248,496,4,0,
16,Flumserberg,Entire home,55.0,949737044393861218,https://www.airbnb.com/rooms/949737044393861218,15,Flumserberg-Tannenheim,"Flumserberg-Tannenheim, St. Gallen, Switzerland",2.0,3,6.0,True,True,False,False,False,False,200 ,400,160.0,94.0,5.0,0.0,0.0,330,659,6,0,
17,Flumserberg,Entire home,37.625,958490876271154643,https://www.airbnb.com/rooms/958490876271154643,17,Flumserberg Mittenwald,"Flumserberg Mittenwald, St. Gallen, Switzerland",1.0,3,8.0,True,True,False,False,False,False,190 ,380,130.0,86.0,5.0,0.0,0.0,301,601,8,0,
18,Flumserberg,Entire rental unit,55.4,934668952807568706,https://www.airbnb.com/rooms/934668952807568706,18,Flumserberg Tannenheim,"Flumserberg Tannenheim, St. Gallen, Switzerland",1.0,2,5.0,True,True,False,False,False,False,170 ,340,130.0,79.0,5.0,0.0,0.0,277,554,5,0,
19,Flumserberg,Entire rental unit,52.5,48098282,https://www.airbnb.com/rooms/48098282,19,Unterterzen,"Unterterzen, Sankt Gallen, Switzerland",1.5,2,4.0,True,True,False,False,True,False,140 ,280,80.0,60.0,0.0,0.0,0.0,210,420,4,67,4.69
20,Flumserberg,Entire rental unit,31.8,938111612365359443,https://www.airbnb.com/rooms/938111612365359443,21,Flumserberg,"Flumserberg, St. Gallen, Switzerland",2.0,3,10.0,True,True,False,False,False,False,190 ,380,160.0,91.0,5.0,0.0,0.0,318,636,10,0,
21,Flumserberg,Entire home,59.0,949749614373296452,https://www.airbnb.com/rooms/949749614373296452,22,Flumserberg-Tannenheim,"Flumserberg-Tannenheim, St. Gallen, Switzerland",1.0,2,4.0,True,True,False,False,False,False,150 ,300,100.0,67.0,5.0,0.0,0.0,236,472,4,0,
22,Flumserberg,Room in hotel,58.5,22852120,https://www.airbnb.com/rooms/22852120,23,Mols,"Mols, Sankt Gallen, Switzerland",1.0,1,2.0,True,True,False,False,False,False,100 ,200,0.0,34.0,0.0,0.0,0.0,117,234,2,163,4.69
23,Flumserberg,Entire home,47.5,949057248409073088,https://www.airbnb.com/rooms/949057248409073088,24,Flumserberg-Mittenwald,"Flumserberg-Mittenwald, St. Gallen, Switzerland",1.0,1,4.0,True,True,False,False,False,False,120 ,240,80.0,54.0,5.0,0.0,0.0,190,379,4,0,
24,Flumserberg,Entire home,41.285714285714285,958482485394899470,https://www.airbnb.com/rooms/958482485394899470,26,Flumserberg-Tannenheim,"Flumserberg-Tannenheim, St. Gallen, Switzerland",1.0,3,5.0,True,True,True,False,False,False,180 ,360,130.0,82.0,5.0,0.0,0.0,289,577,7,0,
25,Flumserberg,Entire rental unit,29.75,815223197601813123,https://www.airbnb.com/rooms/815223197601813123,28,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,0.0,True,True,False,False,False,False,79 ,158,45.0,34.0,0.0,0.0,0.0,119,237,4,0,
26,Flumserberg,Entire rental unit,45.0,1024166467710976268,https://www.airbnb.com/rooms/1024166467710976268,30,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,1.0,True,False,False,False,False,False,77 ,154,30.0,26.0,0.0,31.0,0.0,90,179,2,0,
27,Flumserberg,Entire rental unit,55.666666666666664,996015869814904924,https://www.airbnb.com/rooms/996015869814904924,31,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,1.0,True,True,False,False,False,False,125 ,250,35.0,48.0,0.0,0.0,0.0,167,333,3,0,
28,Flumserberg,Entire home,37.57142857142857,917810140227364529,https://www.airbnb.com/rooms/917810140227364529,33,Flumserberg-Bergheim,"Flumserberg-Bergheim, Sankt Gallen, Switzerland",2.0,2,8.0,True,True,True,False,False,False,200 ,400,50.0,76.0,0.0,0.0,0.0,263,526,7,2,
29,Flumserberg,Entire rental unit,42.0,801511992799966623,https://www.airbnb.com/rooms/801511992799966623,37,Flums,"Flums, Sankt Gallen, Switzerland",1.0,1,2.0,True,True,True,False,False,False,119 ,238,50.0,48.0,0.0,0.0,0.0,168,336,4,8,5.0
30,Flumserberg,Entire rental unit,42.5,685159768035168553,https://www.airbnb.com/rooms/685159768035168553,39,Unterterzen,"Unterterzen, Sankt Gallen, Switzerland",1.0,2,3.0,True,True,False,False,False,False,100 ,200,90.0,49.0,0.0,0.0,0.0,170,339,4,16,4.44
31,Flumserberg,Entire rental unit,45.0,938219131807280942,https://www.airbnb.com/rooms/938219131807280942,40,Flumserberg Tannenboden,"Flumserberg Tannenboden, St. Gallen, Switzerland",1.0,1,4.0,True,False,True,False,False,False,140 ,280,100.0,64.0,5.0,0.0,0.0,225,449,5,0,
32,Mollis,Entire rental unit,135.0,850611034242402812,https://www.airbnb.com/rooms/850611034242402812,7,Glarus Nord,"Glarus Nord, Glarus, Switzerland",1.0,1,1.0,False,True,True,False,False,False,100 ,200,30.0,39.0,0.0,0.0,0.0,135,269,1,3,5.0
33,Mollis,Private room in bed and breakfast,76.0,751136792422185368,https://www.airbnb.com/rooms/751136792422185368,20,Oberurnen,"Oberurnen, Glarus, Switzerland",1.0,1,1.0,True,True,False,True,False,False,130 ,260,0.0,44.0,0.0,0.0,0.0,152,304,2,5,5.0
34,Mollis,Entire vacation home,54.0,580286909455244127,https://www.airbnb.com/rooms/580286909455244127,21,Weesen,"Weesen, Sankt Gallen, Switzerland",1.5,2,3.0,True,True,False,False,False,False,150 ,300,70.0,62.0,0.0,0.0,0.0,216,432,4,10,4.9
35,Mollis,Private room in rental unit,42.0,18715274,https://www.airbnb.com/rooms/18715274,22,Bilten,"Bilten, Glarus, Switzerland",1.0,1,1.0,True,True,False,False,True,False,72 ,144,0.0,24.0,0.0,0.0,0.0,84,168,2,67,5.0
