"Route du Peuplier 90, 1955 Mayens-de-Chamoson, Switzerland"
"Gypaète 4, 1911 Mayens-de-Chamoson, Switzerland"
"Bühlbergstrasse 162, 3775 Lenk, Switzerland"
"Sur les Chemins 12, 2117 La Côte-aux-Fées, Switzerland"
"3933 Staldenried, Switzerland"
"2037 Val-de-Ruz, Switzerland"
"Stradun 335, 7550 Scuol, Switzerland"
"Hittboden 1431D, 3855 Axalp, Switzerland"
"Herr David Raess, Sundroina 24, 7078 Lenzerheide, Switzerland"
"134 Rosswald Rosswald, 3913, Switzerland"
"Zollstrasse 16, 9490 Vaduz, Liechtenstein"
"Ferienhaus Mariha, Schwandstrasse, 3718 Kandersteg, Switzerland"
"Chem. de la Vignette 7, 1122 Romanel-sur-Morges, Switzerland"
"Rte du Lac 21, 1763 Granges-Paccot, Switzerland"
"Rte de la Berra 92, 1634 La Roche, Switzerland"
"Flecklistrasse 40, 3715 Adelboden, Switzerland"
"Resort Lake Lucerne, Bürgenstock 30, 6363 Obbürgen, Switzerland"
"Ruopigenstrasse 33, 6015 Luzern, Switzerland"
"Fuschina 15, 7482 Bergün/Bravuogn, Switzerland"
"Chem. de la Dullive 2, 1196 Gland, Switzerland"
"Rue de la Gruère 13, 2350 Saignelégier, Switzerland"
"Obere Feldgasse 11A, 6462 Seedorf, Switzerland"
"Oberstöckenstrasse 8, 8842 Unteriberg, Switzerland"
"Graben 620 A, 3154 Rüschegg, Switzerland"
"Rte de la Jorette 31, 1899 Torgon, Switzerland"
"Rte de Lana, 1983 Evolène, Switzerland"
"Rte Dents de Bonavau, 1874 Champéry, Switzerland"
"Mondan, Stradón de Cabié 88, 6558 Lostallo, Switzerland"
"Bahnhofstrasse 2, 7260 Davos, Switzerland"
"Landstrasse 179, 7250 Klosters-Serneus, Switzerland"
"Seebenalp, 8884 Oberterzen, Switzerland"
"Steinrütistrasse 5, 9658 Wildhaus, Switzerland"
"3914 Blatten bei Naters, Switzerland"
"3918 Wiler, Switzerland"
"Chemin du Canada 3,, 1983 Evolène, Switzerland"
"Gotthardstrasse 58, 6490 Andermatt, Switzerland"
"Heidbühl 476D, 3537 Eggiwil, Switzerland"
"Dorfstrasse 49, 8873 Amden, Switzerland"
"Rte des Barzettes 42, 3963 Crans-Montana, Switzerland"
"Dorfstrasse 33, 6390 Engelberg, Switzerland"
"Glimmuschir, 3913 Rosswald, Switzerland"
