location,location_town,first_rental_day,return_date,gear_name,price
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Exclusive,49.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Premium,34.2
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Telemark Ski Premium,49.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Economy,26.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Skiboots premium,17.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Skiboots economy,13.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Alpine touring ski boots,17.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Telemark skiboots,17.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Touring Ski exklusiv,49.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Split Board,49.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard exclusive,49.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard premium,34.2
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard boots economy,13.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Nordic Set Classic,26.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowshoes,17.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Helmet,10.8
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Exclusive,86.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Telemark Ski Premium,86.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Premium,64.8
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Economy,51.3
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Skiboots premium,32.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Skiboots economy,26.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Alpine touring ski boots,32.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Telemark skiboots,32.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Touring Ski exklusiv,86.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Split Board,86.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard exclusive,86.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard premium,64.8
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard boots economy,26.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Nordic Set Classic,51.3
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowshoes,32.4
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Helmet,20.7
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Exclusive,121.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Premium,89.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Telemark Ski Premium,121.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Economy,71.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Skiboots premium,45.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Skiboots economy,36.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Alpine touring ski boots,45.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Telemark skiboots,45.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Touring Ski exklusiv,121.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Split Board,121.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Snowboard exclusive,121.5
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Snowboard premium,89.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Snowboard boots economy,36.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Nordic Set Classic,71.1
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Snowshoes,45.0
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Helmet,27.9
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Ski Exclusive,53.1
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Ski Premium,53.1
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Ski Economy,37.8
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Ski Budget,27.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Skiboots premium,17.1
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Skiboots economy,14.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Snowboard Budget,27.9
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Snowboard boots economy,14.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-15,Helmet,8.1
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Exclusive,95.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Premium,95.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Economy,72.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Ski Budget,50.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Skiboots premium,32.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Skiboots economy,27.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Snowboard Budget,54.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Snowboard boots economy,27.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-16,Helmet,14.4
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Exclusive,121.5
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Premium,121.5
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Economy,90.0
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Ski Budget,63.9
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Skiboots premium,42.3
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Skiboots economy,33.3
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Snowboard Budget,67.5
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Snowboard boots economy,33.3
Les Collons Thyon – Valais,Les Collons Thyon,2023-12-15,2023-12-17,Helmet,18.0
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Superior,32.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Premium,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski Economy,23.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Skiboots economy,10.8
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Alpine touring ski,32.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski jacket and ski pants,45.0
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Alpine touring ski boots,10.8
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Ski helmet,6.3
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowboard Economy,23.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowboard boots Premium,10.8
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snowblades,13.5
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Snow shoes incl. poles,10.8
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-15,Skating shoes,5.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Superior,59.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Premium,51.3
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski Economy,42.3
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Skiboots economy,20.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Alpine touring ski,59.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski jacket and ski pants,79.0
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Alpine touring ski boots,20.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Ski helmet,10.8
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowboard Economy,42.3
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowboard boots Premium,20.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snow shoes incl. poles,20.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Snowblades,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-16,Skating shoes,8.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Superior,83.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Premium,74.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski Economy,61.2
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Skiboots economy,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Alpine touring ski,83.7
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski jacket and ski pants,109.0
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Alpine touring ski boots,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Ski helmet,14.4
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowboard Economy,61.2
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowboard boots Premium,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snowblades,35.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Snow shoes incl. poles,26.1
La Dôle – Canton of Vaud,La Dôle,2023-12-15,2023-12-17,Skating shoes,10.8
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Ski Premium,52.8
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Ski Economy,39.6
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Skiboots premium,26.4
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Skiboots economy,21.1
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Snowboard Economy,39.6
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Snowboard boots economy,21.1
Mürren – Bern Region,Mürren,2023-12-15,2023-12-15,Helmet,7.9
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Ski Premium,91.5
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Ski Economy,69.5
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Skiboots premium,45.75
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Skiboots economy,36.95
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Snowboard Economy,69.5
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Snowboard boots economy,36.95
Mürren – Bern Region,Mürren,2023-12-15,2023-12-16,Helmet,14.1
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Ski Premium,120.55
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Ski Economy,91.5
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Skiboots premium,59.85
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Skiboots economy,48.4
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Snowboard Economy,91.5
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Snowboard boots economy,48.4
Mürren – Bern Region,Mürren,2023-12-15,2023-12-17,Helmet,18.5
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski set Economy,52.2
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski Premium,48.6
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Telemark Ski Premium,48.6
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Ski Economy,35.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Skiboots economy,17.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Telemark skiboots,17.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard premium,48.6
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard Economy,35.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowboard boots economy,17.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Snowshoes,17.1
Laax – Graubünden,Laax,2023-12-15,2023-12-15,Helmet,8.1
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski set Economy,100.8
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski Premium,87.3
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Telemark Ski Premium,87.3
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Ski Economy,68.4
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Skiboots economy,33.3
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Telemark skiboots,33.3
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowboard premium,87.3
Laax – Graubünden,Laax,2023-12-15,2023-12-16,Snowboard Economy,68.4
