location,first_rental_day,return_date,gear_name,description,price
Grimentz ,2023-12-15,2023-12-15,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 49.50
Grimentz ,2023-12-15,2023-12-15,Telemark Ski Premium,;Type according to availability;,CHF 49.50
Grimentz ,2023-12-15,2023-12-15,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 34.20
Grimentz ,2023-12-15,2023-12-15,Ski Economy,;For the price-conscious;Type according to availability;,CHF 26.10
Grimentz ,2023-12-15,2023-12-15,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 17.10
Grimentz ,2023-12-15,2023-12-15,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 13.50
Grimentz ,2023-12-15,2023-12-15,Telemark skiboots,;Type according to availability;,CHF 17.10
Grimentz ,2023-12-15,2023-12-15,Alpine touring ski boots,;Type according to availability;,CHF 17.10
Grimentz ,2023-12-15,2023-12-15,Touring Ski exklusiv,;Type according to availability;incl. skins and poles;,CHF 49.50
Grimentz ,2023-12-15,2023-12-15,Split Board,;Top Performance;Type according to availability;,CHF 49.50
Grimentz ,2023-12-15,2023-12-15,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Grimentz ,2023-12-15,2023-12-15,Snowboard exclusive,;Unbelieveable edge stability;Extreme Performance;Control in all situations;Type according to availability;,CHF 49.50
Grimentz ,2023-12-15,2023-12-15,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 34.20
Grimentz ,2023-12-15,2023-12-15,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 13.50
Grimentz ,2023-12-15,2023-12-15,Nordic Set Classic,;Type according to availability;,CHF 26.10
Grimentz ,2023-12-15,2023-12-15,Snowshoes,;Great natural experience;Easy going on snow;Highest Comfort;,CHF 17.10
Grimentz ,2023-12-15,2023-12-15,Helmet,;Perfect fitting comfort;Perfect protection;Checked for safety;Type according to availability;,CHF 10.80
Grimentz ,2023-12-15,2023-12-16,Ski Exclusive,;Highest Quality & innovative technology;Direct power transmission;Power for sporting descents;Type according to availability;,CHF 86.40
Grimentz ,2023-12-15,2023-12-16,Ski Premium,;For sporty bargain hunters;A ton of fun on the slopes;Type according to availability;,CHF 64.80
Grimentz ,2023-12-15,2023-12-16,Telemark Ski Premium,;Type according to availability;,CHF 86.40
Grimentz ,2023-12-15,2023-12-16,Ski Economy,;For the price-conscious;Type according to availability;,CHF 51.30
Grimentz ,2023-12-15,2023-12-16,Skiboots premium,;Direct force transmission;High Comfort & perfect Footing;Better Performance;Type according to availability;,CHF 32.40
Grimentz ,2023-12-15,2023-12-16,Skiboots economy,;Allround ski boot;Comfortable wearing;Excellent driving performance;Type according to availability;,CHF 26.10
Grimentz ,2023-12-15,2023-12-16,Alpine touring ski boots,;Type according to availability;,CHF 32.40
Grimentz ,2023-12-15,2023-12-16,Telemark skiboots,;Type according to availability;,CHF 32.40
Grimentz ,2023-12-15,2023-12-16,Touring Ski exklusiv,;Type according to availability;incl. skins and poles;,CHF 86.40
Grimentz ,2023-12-15,2023-12-16,Split Board,;Top Performance;Type according to availability;,CHF 86.40
Grimentz ,2023-12-15,2023-12-16,Cancellation option,;With the cancellation option you can cancel your reservation until 12.00 the day before.;You will get the full rental amount back less the cancellation fee.;,CHF 5.00
Grimentz ,2023-12-15,2023-12-16,Snowboard exclusive,;Unbelieveable edge stability;Extreme Performance;Control in all situations;Type according to availability;,CHF 86.40
Grimentz ,2023-12-15,2023-12-16,Snowboard premium,;Top Performance;Supporting swing release;Perfect for powder;Type according to availability;,CHF 64.80
Grimentz ,2023-12-15,2023-12-16,Snowboard boots economy,;Easy entry & exit;Safe stand;Best processing;Type according to availability;,CHF 26.10
