location,location_town,first_rental_day,return_date,gear_name,price,rental_duration,price_per_day,gear_class
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Exclusive,49.5,1,49.5,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Premium,34.2,1,34.2,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Telemark Ski Premium,49.5,1,49.5,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Ski Economy,26.1,1,26.1,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Skiboots premium,17.1,1,17.1,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Skiboots economy,13.5,1,13.5,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Alpine touring ski boots,17.1,1,17.1,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Telemark skiboots,17.1,1,17.1,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Touring Ski exklusiv,49.5,1,49.5,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Split Board,49.5,1,49.5,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard exclusive,49.5,1,49.5,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard premium,34.2,1,34.2,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowboard boots economy,13.5,1,13.5,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Nordic Set Classic,26.1,1,26.1,set
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Snowshoes,17.1,1,17.1,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-15,Helmet,10.8,1,10.8,helmet
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Exclusive,86.4,2,43.2,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Telemark Ski Premium,86.4,2,43.2,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Premium,64.8,2,32.4,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Ski Economy,51.3,2,25.65,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Skiboots premium,32.4,2,16.2,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Skiboots economy,26.1,2,13.05,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Alpine touring ski boots,32.4,2,16.2,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Telemark skiboots,32.4,2,16.2,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Touring Ski exklusiv,86.4,2,43.2,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Split Board,86.4,2,43.2,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard exclusive,86.4,2,43.2,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard premium,64.8,2,32.4,snowboard
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowboard boots economy,26.1,2,13.05,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Nordic Set Classic,51.3,2,25.65,set
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Snowshoes,32.4,2,16.2,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-16,Helmet,20.7,2,10.35,helmet
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Exclusive,121.5,3,40.5,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Premium,89.1,3,29.7,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Telemark Ski Premium,121.5,3,40.5,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Ski Economy,71.1,3,23.7,ski
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Skiboots premium,45.0,3,15.0,clothes
Grimentz – Valais,Grimentz,2023-12-15,2023-12-17,Skiboots economy,36.0,3,12.0,clothes
