Resort,Location,Link,Open Pistes km,Slope Condition,Open Lifts,Depth of snow in resortat 1840 metres,Depth of snow on upper runsat 2488 metres,Last snowfall in resort,Last snowfall in ski area,New snow in resort (past 24h),New snow in ski area (past 24h),Runs down to resort (open today / total),Runs down to (altitude),Condition of runs down to resort,Surface area of pistes,Number of local pistes,Pistes covered by lift pass (regional),Number of lifts in ski area,Runs floodlit today until,Length of floodlit runs,Altitude of cross-country runs,Cross-country ski trail floodlit today until,Floodlit cross-country trails (km open / total),"Cross-country trails, dogs permitted (open / total)",Tel. for cross-country ski info,Snow Park condition,Snow park floodlighting,Snowboard facilities floodlit today until,Tel. for fun park info,Vertical difference of all runs (today / total),Transportation to starting point,Fully open,Floodlit today (open / total),Toboggan hire available,Tel. for tobogganing info,Winter walking paths from (altitude),Number of snow shoe trails open today,Conditions/events on the trails,Depth of snow in resortat 1620 metres,Depth of snow on upper runsat 2900 metres,Depth of snow in resortat 1500 metres,Depth of snow on upper runs,Depth of snow in resortat 1800 metres,Depth of snow on upper runsat 2700 metres,Depth of snow in resortat 1200 metres,Depth of snow on upper runsat 2540 metres,Depth of snow in resortat 1560 metres,Depth of snow in resortat 1822 metres,Depth of snow in resortat 1050 metres,Depth of snow on upper runsat 2061 metres,Depth of snow in resortat 1473 metres,Depth of snow on upper runsat 2600 metres,Depth of snow in resortat 1714 metres,Depth of snow in resortat 1572 metres,Depth of snow on upper runsat 3600 metres,Depth of snow in resortat 1274 metres,Depth of snow on upper runsat 2230 metres,Depth of snow in resortat 1220 metres,Depth of snow on upper runsat 2730 metres,Depth of snow on upper runsat 2590 metres,Depth of snow in resortat 1300 metres,Depth of snow on upper runsat 2000 metres,Depth of snow on upper runsat 3020 metres,Depth of snow in resortat 1353 metres,Depth of snow on upper runsat 1964 metres,Depth of snow in resortat 1815 metres,Depth of snow in resortat 1812 metres,Depth of snow in resortat 1450 metres,Depth of snow on upper runsat 2350 metres,Depth of snow in resortat 1444 metres,Depth of snow on upper runsat 2961 metres,Depth of snow in resortat 900 metres,Depth of snow in resortat 1950 metres,Depth of snow on upper runsat 2500 metres,Depth of snow in resortat 1068 metres,Depth of snow on upper runsat 1946 metres,Depth of snow in resortat 520 metres,Depth of snow on upper runsat 2227 metres,Depth of snow in resortat 1000 metres,Depth of snow in resortat 1350 metres,Depth of snow on upper runsat 3330 metres,Depth of snow in resortat 519 metres,Depth of snow on upper runsat 1600 metres,Depth of snow in resortat 1030 metres,Depth of snow on upper runsat 1460 metres,Depth of snow in resortat 1650 metres,Depth of snow in resortat 1100 metres,Depth of snow in resortat 1411 metres,Depth of snow in resortat 1474 metres,Depth of snow on upper runsat 2783 metres,Depth of snow in resortat 1290 metres,Depth of snow on upper runsat 2593 metres,Depth of snow in resortat 800 metres,Depth of snow in resort,Depth of snow on upper runsat 2720 metres,Depth of snow in resortat 1090 metres,Depth of snow on upper runsat 2262 metres,Depth of snow in resortat 1920 metres,Depth of snow on upper runsat 2225 metres,Depth of snow on upper runsat 1922 metres,Depth of snow on upper runsat 2076 metres,Depth of snow on upper runsat 1630 metres,Depth of snow in resortat 1330 metres,Depth of snow in resortat 630 metres,Depth of snow on upper runsat 1800 metres,Depth of snow on upper runsat 1725 metres,Depth of snow in resortat 1284 metres,Depth of snow in resortat 1466 metres,Depth of snow in resortat 1035 metres,Depth of snow on upper runsat 1634 metres,Depth of snow in resortat 1040 metres,Depth of snow in resortat 1175 metres,Depth of snow on upper runsat 2250 metres,Depth of snow in resortat 1600 metres,Depth of snow on upper runsat 1583 metres,Depth of snow in resortat 1158 metres,Depth of snow in resortat 1322 metres,Depth of snow on upper runsat 2554 metres,Depth of snow in resortat 1166 metres,Depth of snow in resortat 2000 metres,Depth of snow in resortat 1420 metres,Depth of snow on upper runsat 2170 metres,Depth of snow in resortat 0 metres,Depth of snow on upper runsat 1260 metres,Depth of snow on upper runsat 1726 metres,Depth of snow on upper runsat 1850 metres,Depth of snow in resortat 1440 metres,Depth of snow on upper runsat 1660 metres,Depth of snow on upper runsat 1570 metres,Depth of snow in resortat 1256 metres,Depth of snow on upper runsat 1901 metres,Depth of snow on upper runsat 1485 metres,Depth of snow on upper runsat 1550 metres,Depth of snow in resortat 1457 metres,Depth of snow in resortat 920 metres,Depth of snow on upper runsat 1365 metres,Depth of snow in resortat 1150 metres,Depth of snow on upper runsat 1863 metres,Depth of snow in resortat 840 metres,Depth of snow on upper runsat 1200 metres,Depth of snow on upper runsat 1250 metres,Depth of snow in resortat 1340 metres,Depth of snow on upper runsat 1590 metres,Depth of snow in resortat 884 metres,Depth of snow on upper runsat 1500 metres,Depth of snow in resortat 1265 metres,Depth of snow on upper runsat 1496 metres,Depth of snow in resortat 1400 metres,Depth of snow on upper runsat 1580 metres,Depth of snow in resortat 850 metres,Depth of snow on upper runsat 1680 metres,Depth of snow in resortat 650 metres,Depth of snow on upper runsat 1180 metres,Depth of snow in resortat 1061 metres,Depth of snow on upper runsat 1396 metres,Depth of snow in resortat 1283 metres,Depth of snow on upper runsat 1380 metres,Depth of snow in resortat 1135 metres,Depth of snow on upper runsat 1856 metres,Depth of snow on upper runsat 1050 metres,Depth of snow in resortat 860 metres,Depth of snow on upper runsat 1385 metres,Depth of snow on upper runsat 1420 metres,Depth of snow on upper runsat 3200 metres,Depth of snow in resortat 998 metres,Depth of snow in resortat 1020 metres,Depth of snow on upper runsat 1000 metres,Depth of snow on upper runsat 1887 metres,Depth of snow on upper runsat 2050 metres,Depth of snow on upper runsat 2483 metres,Depth of snow in resortat 1010 metres,Depth of snow on upper runsat 2352 metres,Depth of snow in resortat 595 metres,Depth of snow on upper runsat 2174 metres,Depth of snow in resortat 825 metres,Depth of snow on upper runsat 1080 metres,Depth of snow on upper runsat 1346 metres,Depth of snow in resortat 1716 metres,Depth of snow in resortat 1660 metres,Depth of snow in resortat 1706 metres,Depth of snow in resortat 1805 metres,Depth of snow in resortat 1809 metres,Depth of snow in resortat 1687 metres,Depth of snow in resortat 1380 metres,Depth of snow in resortat 1700 metres,Depth of snow on upper runsat 1900 metres,Depth of snow in resortat 1221 metres,Depth of snow in resortat 1769 metres,Depth of snow in resortat 1670 metres,Depth of snow on upper runsat 2400 metres,Depth of snow in resortat 925 metres,Depth of snow on upper runsat 1228 metres,Depth of snow on upper runsat 1100 metres,Depth of snow on upper runsat 1300 metres,Depth of snow in resortat 790 metres,Depth of snow in resortat 1263 metres,Depth of snow on upper runsat 1950 metres,Depth of snow in resortat 1044 metres,Depth of snow on upper runsat 1170 metres,Depth of snow in resortat 1227 metres,Depth of snow on upper runsat 1350 metres,Depth of snow on upper runsat 2340 metres,Depth of snow on upper runsat 2360 metres,Depth of snow in resortat 940 metres,Depth of snow on upper runsat 1093 metres,Depth of snow in resortat 875 metres,Depth of snow on upper runsat 2123 metres,Depth of snow on upper runsat 2300 metres,Depth of snow in resortat 430 metres,Depth of snow in resortat 1154 metres,Depth of snow in resortat 706 metres,Depth of snow on upper runsat 1360 metres,Depth of snow on upper runsat 0 metres,Depth of snow in resortat 1480 metres,Depth of snow in resortat 713 metres,Depth of snow in resortat 1250 metres,Depth of snow in resortat 465 metres,Depth of snow on upper runsat 1650 metres,Depth of snow in resortat 972 metres,Depth of snow on upper runsat 1030 metres,Depth of snow on upper runsat 2640 metres,Depth of snow in resortat 1550 metres,Depth of snow on upper runsat 2200 metres,Depth of snow in resortat 1373 metres,Depth of snow on upper runsat 2552 metres,Depth of snow on upper runsat 1450 metres,Depth of snow in resortat 1750 metres,Depth of snow on upper runsat 2270 metres,Depth of snow in resortat 1230 metres,Depth of snow in resortat 740 metres,Depth of snow in resortat 930 metres,Depth of snow on upper runsat 1470 metres,Installations open from,Installations open until,Start of season:,End of season:,Adult: 17-65,Young person:,Children: 10-16,Seniors  65,Adult:,Children:,Seniors,Adult: 1947-1998,Young person: 1999-2008,Children: 2009-2016,Adult: 18,Young person: 13-17,Children: 6-12,Seniors  64,Adult: 20-61,Young person: 16-19,Children: 6-15,Seniors  62,Adult: 1998/1960,Young person: 1999/2007,Children: 2008/2017,Seniors  1959,Adult: 18-99,Young person: 12-17,Children: 6-11,Adult: 18-64,Children: 6-10,Adult: 1945-1996,Young person: 1997-2006,Children: 2007-2014,Adult: 20-63,Adult: 21-63,Young person: 16-20,Adult: 20,Adult: 20-99,Seniors  60,Adult: 1959-1998,Young person: 1999-2007,Children: 2008-2017,Seniors  1946-1958,Adult: 16,Adult: 1959-1997,Young person: 1998-2007,Seniors  1958-1923,Adult: 1960-2003,Young person: 2004-2007,Adult: 1958-1997,Young person: 1998-2005,Children: 2006-2015,Seniors  1944-1957,Seniors  1944-1956,Adult: 25-64,Young person: 16-24,Children: 5-15,Adult: 20-60,Adult: 25-63,Adult: 1960-1998,Seniors  1920-1959,Adult: 18-63,Adult: 20-65,Seniors  66,Adult: 26-64,Young person: 16-25,Seniors  65-74,Adult: 1958-2001,Young person: 2002-2006,Children: 2007-2015,Seniors  1945-1957,Children: 6-16,Adult: 16-99,Young person: 6-15,Seniors  64/65,Adult: 21,Children: 9-15,Young person: 17-19,Children: 8-16,Adult: 18-100,Young person: 10-17,Children: 0-9,Young person: 16,Children: 6,Adult: 2002,Young person: 2003-2006,Children: 2007-2016,Adult: 18-65,Children: 0-15,Young person: 16-18,Seniors  65-100,Young person: 6,Children: 0-16,Young person: 13-18,Children: 6-13,Children: -16,Children: 0-5,Adult: 17,Young person: -16,Adult: 21-64,Young person: 17-20,Children: 9-16,Young person: 20,Children: 20,Young person: 14-17,Children: 16
Samnaun/Ischgl,['Samnaun – Graubünden'],https://snow.myswitzerland.com//snow_reports/samnaunischgl-157/#piste,"204.0/239.0 kmPistes, good",goodSlope condition,39/46Lifts open,50 cm,100 cm,05.12.2023,05.12.2023,0 cm,35 cm,4/6,–,fair,0.00 km²,85,239 km,45,–,–,1800-1840 m (altitude),–,0/0.0 km,0.0/0.0 km,,no info,–,-,,100/330 m,–,30%,0/0 km,,+41 (0)81 861 88 30,–,0,Closed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30 hr,16:00 hr,23.11.2023,01.05.2024,72.- CHF,–,45.- CHF,72.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zermatt - Matterhorn,['Zermatt – Valais'],https://snow.myswitzerland.com//snow_reports/zermatt-matterhorn-170/#piste,"175.3/360.0 kmPistes, good",goodSlope condition,35/54Lifts open,,,yesterday,01.05.2023,0 cm,0 cm,1/4,1617 m (altitude),no info,1.05 km²,145,360 km,55,–,–,,,,,,open,–,-,+41 (0)27 966 01 01,,,,,,,,,,15 cm,30 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30 hr,17:00 hr,01.11.2023,30.04.2024,,from 78.- CHF,,,from 92.- CHF,from 46.- CHF,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verbier,['Verbier – Valais'],https://snow.myswitzerland.com//snow_reports/verbier-132/#piste,"145.3/358.0 kmPistes, good",goodSlope condition,33/73Lifts open,,,today,today,9 cm,9 cm,6/18,–,good,0.35 km²,101,412 km,82,–,0.0 km,2200-2260 m (altitude),–,0.0/0 km,0.0/0 km,,closed,–,-,,,,,,,,2200 m (altitude),1,Good,,,50 cm,94 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:45 hr,16:15 hr,04.11.2023,21.04.2024,,,,,,,–,from 83.- CHF,from 70.- CHF,from 41.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thyon - 4 Vallées,['Les Collons Thyon – Valais'],https://snow.myswitzerland.com//snow_reports/thyon-4-vallees-143/#piste,"145.3/358.0 kmPistes, good",goodSlope condition,33/73Lifts open,,,yesterday,yesterday,0 cm,0 cm,6/18,1500 m (altitude),good,0.00 km²,101,220 km,84,–,0.0 km,2200-2260 m (altitude),–,0.0/0.0 km,0.0/0.0 km,+41 (0)27 281 27 27,closed,–,-,+41(0)27 282 57 13,,,,,,,2200 m (altitude),10,Good,,,,,60 cm,100 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:30 hr,16:30 hr,17.11.2023,14.04.2024,,,,,,,–,73.- CHF,62.- CHF,37.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Klosters,['Klosters – Graubünden'],https://snow.myswitzerland.com//snow_reports/klosters-121/#piste,"133.1/258.9 kmPistes, good",goodSlope condition,27/46Lifts open,,,3 days ago,3 days ago,0 cm,0 cm,11/16,1560 m (altitude),good,6.64 km²,83,320 km,58,–,–,1291-1373 m (altitude),–,2.5/2.5 km,18.5/18.5 km,+41 (0)81 415 21 21,closed,–,-,+41 (0)81 415 21 21,779/1987 m,,100%,0/0 km,,+41 (0)81 415 21 21,1191 m (altitude),0,Closed,,,,,,,55 cm,135 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15 hr,16:00 hr,25.11.2023,07.04.2024,,,,,,,,,,,77.- CHF,54.- CHF,31.- CHF,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davos,['Davos – Graubünden'],https://snow.myswitzerland.com//snow_reports/davos-69/#piste,"133.1/258.9 kmPistes, good",goodSlope condition,27/46Lifts open,,,yesterday,3 days ago,4 cm,0 cm,11/16,1250 m (altitude),good,6.64 km²,83,320 km,85,–,–,1560-1700 m (altitude),21:00 hr,2.5/2.5 km,18.5/18.5 km,+41 (0)81 415 21 21,closed,–,-,+41 (0)81 415 21 21,321/917 m,,100%,2.86.5 km,,+41 (0)81 415 21 21,1560 m (altitude),5,Good,,,,,,,,135 cm,54 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:15 hr,16:00 hr,10.11.2023,14.04.2024,,,,,,,,,,,77.- CHF,54.- CHF,31.- CHF,77.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engadin & St. Moritz,['St. Moritz – Graubünden'],https://snow.myswitzerland.com//snow_reports/engadin-st-moritz-65/#piste,"126.5/330.3 kmPistes, good",goodSlope condition,26/59Lifts open,,,02.12.2023,02.12.2023,0 cm,0 cm,6/15,–,no info,–,92,350 km,56,–,11.7 km,1710-1850 m (altitude),–,11.6/19.7 km,25.5/25.6 km,,open,–,-,,230/2569 m,–,5%,0/0 km,,,–,2,No notification,,,,137 cm,,,,,,55 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.10.2023,05.05.2024,,from 29.50 CHF,,,from 45.- CHF,from 15.- CHF,–,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grindelwald – Jungfrau Ski Region,['Grindelwald – Bern Region'],https://snow.myswitzerland.com//snow_reports/grindelwald-jungfrau-ski-region-228/#piste,"87.2/207.5 kmPistes, good",goodSlope condition,48/67Lifts open,,,02.12.2023,02.12.2023,10 cm,30 cm,0/9,1200 m (altitude),closed,0.00 km²,106,213 km,44,–,0.0 km,940-990 m (altitude),–,0.0/0.0 km,0.0/0.0 km,+41 (0)33 854 12 12,closed,–,-,,0/1737 m,,100%,0/3.0 km,,+41 (0)33 828 72 33,1000 m (altitude),8,Good,,,,,,,,,,,15 cm,40 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09:00 hr,16:30 hr,03.12.2023,01.04.2024,,,,,,,,,,,,,,,75.- CHF,45.- CHF,38.- CHF,68.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arosa Lenzerheide,['Lenzerheide – Graubünden'],https://snow.myswitzerland.com//snow_reports/arosa-lenzerheide-66/#piste,"84.2/220.7 kmPistes, good",goodSlope condition,22/43Lifts open,,,02.12.2023,yesterday,0 cm,6 cm,9/31,–,no info,–,134,225 km,43,–,0.0 km,–,21:00 hr,13.0/13.0 km,0/0 km,,no info,–,-,,0/994 m,–,0%,0/6.0 km,,,–,4,Good,,,,136 cm,,,,,,,,,60 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08:45 hr,16:00 hr,02.12.2023,14.04.2024,,from 17.- CHF,,,from 30.- CHF,from 14.- CHF,from 30.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arosa Lenzerheide,['Arosa – Graubünden'],https://snow.myswitzerland.com//snow_reports/arosa-lenzerheide-123/#piste,"84.2/220.7 kmPistes, good",goodSlope condition,22/43Lifts open,,,today,today,5 cm,5 cm,9/31,–,good,–,134,225 km,43,–,0.0 km,–,–,4.0/4.0 km,0.0/0 km,,open,–,-,,1112/1312 m,–,59%,1.02.5 km,,,–,2,Good,,,,70 cm,60 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02.12.2023,14.04.2024,,from 17.- CHF,,,from 30.- CHF,from 14.- CHF,from 30.- CHF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
