Resort,Location,Link,Open Pistes km,Slope Condition,Open Lifts,Last snowfall in resort,Last snowfall in ski area,New snow in resort (past 24h) - cm,New snow in ski area (past 24h) - cm,Runs down to resort (open today / total),Runs down to (altitude),Condition of runs down to resort,Surface area of pistes km^2,Number of local pistes,Pistes covered by lift pass (regional) - km,Number of lifts in ski area,Runs floodlit today until,Length of floodlit runs,Altitude of cross-country runs,Cross-country ski trail floodlit today until,Floodlit cross-country trails (km open / total),"Cross-country trails, dogs permitted (open / total)",Vertical difference of all runs (today / total),Fully open,Floodlit today (open / total),Winter walking paths from (altitude),Number of snow shoe trails open today,Conditions/events on the trails,Depth of snow on upper runs - cm,Depth of snow in resort - cm,Installations open from,Installations open until,Start of season:,End of season:,City,Canton,Depth of snow on upper runs - inches,Depth of snow in resort - inches,adult - CHF,young person - CHF,senior - CHF,children - CHF
Samnaun/Ischgl,Samnaun – Graubünden,https://snow.myswitzerland.com/snow_reports/samnaunischgl-157/#piste,204.0/239.0 ,good,39/46,2023-12-07,2023-12-07,0 ,35 ,4/6,Not Available,fair,0.00 ,85.0,239 ,45,Not Available,Not Available,1800-1840 m (altitude),Not Available,0/0.0 km,0.0/0.0 km,100/330 m,30%,0/0 km,Not Available,0,Closed,100.0,50.0,08:30 hr,16:00 hr,23.11.2023,01.05.2024,Samnaun , Graubünden,39.37,19.69,72.0,,72.0,45.0
Zermatt - Matterhorn,Zermatt – Valais,https://snow.myswitzerland.com/snow_reports/zermatt-matterhorn-170/#piste,175.3/360.0 ,good,35/54,2023-12-12,2023-12-11,0 ,0 ,1/4,1617 m (altitude),no info,1.05 ,145.0,360 ,55,Not Available,Not Available,,,,,,,,,,,30.0,15.0,08:30 hr,17:00 hr,01.11.2023,30.04.2024,Zermatt , Valais,11.81,5.91,92.0,78.0,,46.0
Verbier,Verbier – Valais,https://snow.myswitzerland.com/snow_reports/verbier-132/#piste,145.3/358.0 ,good,33/73,2023-12-12,2023-12-12,9 ,9 ,6/18,Not Available,good,0.35 ,101.0,412 ,82,Not Available,0.0 km,2200-2260 m (altitude),Not Available,0.0/0 km,0.0/0 km,,,,2200 m (altitude),1,Good,94.0,50.0,08:45 hr,16:15 hr,04.11.2023,21.04.2024,Verbier , Valais,37.01,19.69,83.0,70.0,,41.0
Thyon - 4 Vallées,Les Collons Thyon – Valais,https://snow.myswitzerland.com/snow_reports/thyon-4-vallees-143/#piste,145.3/358.0 ,good,33/73,2023-12-12,2023-12-12,0 ,0 ,6/18,1500 m (altitude),good,0.00 ,101.0,220 ,84,Not Available,0.0 km,2200-2260 m (altitude),Not Available,0.0/0.0 km,0.0/0.0 km,,,,2200 m (altitude),10,Good,100.0,60.0,08:30 hr,16:30 hr,17.11.2023,14.04.2024,Les Collons Thyon , Valais,39.37,23.62,73.0,62.0,,37.0
Klosters,Klosters – Graubünden,https://snow.myswitzerland.com/snow_reports/klosters-121/#piste,133.1/258.9 ,good,27/46,2023-12-09,2023-12-09,0 ,0 ,11/16,1560 m (altitude),good,6.64 ,83.0,320 ,58,Not Available,Not Available,1291-1373 m (altitude),Not Available,2.5/2.5 km,18.5/18.5 km,779/1987 m,100%,0/0 km,1191 m (altitude),0,Closed,135.0,55.0,08:15 hr,16:00 hr,25.11.2023,07.04.2024,Klosters , Graubünden,53.15,21.65,77.0,54.0,,31.0
Davos,Davos – Graubünden,https://snow.myswitzerland.com/snow_reports/davos-69/#piste,133.1/258.9 ,good,27/46,2023-12-12,2023-12-09,4 ,0 ,11/16,1250 m (altitude),good,6.64 ,83.0,320 ,85,Not Available,Not Available,1560-1700 m (altitude),21:00 hr,2.5/2.5 km,18.5/18.5 km,321/917 m,100%,2.86.5 km,1560 m (altitude),5,Good,135.0,54.0,08:15 hr,16:00 hr,10.11.2023,14.04.2024,Davos , Graubünden,53.15,21.26,77.0,54.0,77.0,31.0
Engadin & St. Moritz,St. Moritz – Graubünden,https://snow.myswitzerland.com/snow_reports/engadin-st-moritz-65/#piste,126.5/330.3 ,good,26/59,2023-12-10,2023-12-10,0 ,0 ,6/15,Not Available,no info,Not Available,92.0,350 ,56,Not Available,11.7 km,1710-1850 m (altitude),Not Available,11.6/19.7 km,25.5/25.6 km,230/2569 m,5%,0/0 km,Not Available,2,No notification,137.0,55.0,,,21.10.2023,05.05.2024,St. Moritz , Graubünden,53.94,21.65,45.0,,,15.0
Grindelwald – Jungfrau Ski Region,Grindelwald – Bern Region,https://snow.myswitzerland.com/snow_reports/grindelwald-jungfrau-ski-region-228/#piste,87.2/207.5 ,good,48/67,2023-12-10,2023-12-10,10 ,30 ,0/9,1200 m (altitude),closed,0.00 ,106.0,213 ,44,Not Available,0.0 km,940-990 m (altitude),Not Available,0.0/0.0 km,0.0/0.0 km,0/1737 m,100%,0/3.0 km,1000 m (altitude),8,Good,40.0,15.0,09:00 hr,16:30 hr,03.12.2023,01.04.2024,Grindelwald , Bern Region,15.75,5.91,75.0,45.0,68.0,38.0
Arosa Lenzerheide,Lenzerheide – Graubünden,https://snow.myswitzerland.com/snow_reports/arosa-lenzerheide-66/#piste,84.2/220.7 ,good,22/43,2023-12-10,2023-12-12,0 ,6 ,9/31,Not Available,no info,Not Available,134.0,225 ,43,Not Available,0.0 km,Not Available,21:00 hr,13.0/13.0 km,0/0 km,0/994 m,0%,0/6.0 km,Not Available,4,Good,136.0,60.0,08:45 hr,16:00 hr,02.12.2023,14.04.2024,Lenzerheide , Graubünden,53.54,23.62,30.0,17.0,30.0,14.0
Arosa Lenzerheide,Arosa – Graubünden,https://snow.myswitzerland.com/snow_reports/arosa-lenzerheide-123/#piste,84.2/220.7 ,good,22/43,2023-12-12,2023-12-12,5 ,5 ,9/31,Not Available,good,Not Available,134.0,225 ,43,Not Available,0.0 km,Not Available,Not Available,4.0/4.0 km,0.0/0 km,1112/1312 m,59%,1.02.5 km,Not Available,2,Good,70.0,60.0,,,02.12.2023,14.04.2024,Arosa , Graubünden,27.56,23.62,30.0,17.0,30.0,14.0
Davos Klosters Parsenn,Davos – Graubünden,https://snow.myswitzerland.com/snow_reports/davos-klosters-parsenn-379/#piste,83.8/109.1 ,good,16/18,2023-12-12,2023-12-09,4 ,0 ,7/8,1560 m (altitude),good,3.22 ,36.0,320 ,85,Not Available,0.0 km,,,,,579/579 m,100%,0/0 km,,,,135.0,54.0,08:15 hr,16:00 hr,10.11.2023,14.04.2024,Davos , Graubünden,53.15,21.26,77.0,54.0,77.0,31.0
St. Moritz,St. Moritz – Graubünden,https://snow.myswitzerland.com/snow_reports/st-moritz-77/#piste,81.0/163.8 ,good,19/24,2023-12-10,2023-12-10,0 ,0 ,4/5,Not Available,no info,Not Available,37.0,350 ,56,Not Available,0.0 km,Not Available,Not Available,8.3/16.4 km,0.0/28.0 km,,,,Not Available,1,No notification,90.0,50.0,07:45 hr,17:00 hr,25.11.2023,07.04.2024,St. Moritz , Graubünden,35.43,19.69,45.0,,,15.0
Celerina/Engadin,Celerina – Graubünden,https://snow.myswitzerland.com/snow_reports/celerinaengadin-119/#piste,81.0/163.8 ,end of season,19/24,2023-12-07,2023-12-07,0 ,0 ,4/5,1730 m (altitude),no info,Not Available,37.0,350 ,56,Not Available,0.0 km,Not Available,Not Available,8.3/16.4 km,0.0/28.0 km,,,,Not Available,1,No notification,90.0,50.0,,,25.11.2023,07.04.2024,Celerina , Graubünden,35.43,19.69,45.0,,,15.0
Grimentz-Zinal /Anniviers,Grimentz – Valais,https://snow.myswitzerland.com/snow_reports/grimentz-zinal-anniviers-140/#piste,59.5/115.0 ,good,17/21,2023-12-12,2023-12-12,10 ,12 ,1/5,Not Available,closed,Not Available,40.0,220 ,43,Not Available,0.0 km,Not Available,Not Available,0.0/0 km,0.0/0.0 km,0/540 m,0%,0/0 km,1325 m (altitude),2,Good,90.0,30.0,09:00 hr,16:30 hr,08.12.2023,14.04.2024,Grimentz , Valais,35.43,11.81,71.0,60.0,64.0,43.0
Saas-Fee,Saas-Fee – Valais,https://snow.myswitzerland.com/snow_reports/saas-fee-176/#piste,57.3/100.0 ,good,14/23,2023-12-10,2023-12-10,0 ,0 ,1/4,1800 m (altitude),fair,3.29 ,35.0,100 ,35,Not Available,0.0 km,,,,,0/550 m,0%,0/5.0 km,1800 m (altitude),3,Good,210.0,40.0,08:30 hr,16:15 hr,15.07.2023,21.04.2024,Saas-Fee , Valais,82.68,15.75,75.0,64.0,,37.0
Wengen – Jungfrau Ski Region,Wengen – Bern Region,https://snow.myswitzerland.com/snow_reports/wengen-jungfrau-ski-region-91/#piste,56.7/207.5 ,good,48/67,2023-12-10,2023-12-12,0 ,11 ,3/9,950 m (altitude),good,0.00 ,106.0,214 ,15,Not Available,0.0 km,,,,,0/1737 m,100%,0/3.0 km,1300 m (altitude),8,Good,71.0,30.0,08:00 hr,16:00 hr,02.12.2023,28.04.2024,Wengen , Bern Region,27.95,11.81,75.0,45.0,68.0,38.0
Flumserberg,Flumserberg – Eastern Switzerland / Liechtenstein,https://snow.myswitzerland.com/snow_reports/flumserberg-113/#piste,50.6/64.7 ,good,15/17,2023-12-12,2023-12-12,5 ,10 ,3/4,Not Available,good,Not Available,48.0,65 ,18,Not Available,3.7 km,1400-1803 m (altitude),Not Available,0.0/0 km,0.0/0.0 km,356/356 m,100%,3.03.0 km,1400 m (altitude),0,Good,95.0,75.0,08:00 hr,17:00 hr,29.11.2023,01.04.2024,Flumserberg , Eastern Switzerland / Liechtenstein,37.4,29.53,68.0,44.0,,34.0
LAAX,Laax – Graubünden,https://snow.myswitzerland.com/snow_reports/laax-67/#piste,50.5/204.8 ,good,14/26,2023-12-10,2023-12-12,0 ,3 ,0/5,1100 m (altitude),closed,4.64 ,155.0,235 ,29,Not Available,5.2 km,760-1630 m (altitude),Not Available,5.5/5.5 km,2.0/2.0 km,258/740 m,27%,0/2.9 km,1108 m (altitude),3,Good,148.0,45.0,08:30 hr,17:00 hr,01.12.2023,14.04.2024,Laax , Graubünden,58.27,17.72,59.0,,,
Davos Jakobshorn,Davos – Graubünden,https://snow.myswitzerland.com/snow_reports/davos-jakobshorn-376/#piste,49.3/53.3 ,good,10/10,2023-12-12,2023-12-09,4 ,0 ,4/4,1560 m (altitude),good,1.32 ,13.0,320 ,85,Not Available,Not Available,,,,,,,,2590 m (altitude),1,Good,135.0,54.0,08:15 hr,16:00 hr,25.11.2023,07.04.2024,Davos , Graubünden,53.15,21.26,73.0,51.0,73.0,29.0
Veysonnaz - 4 Vallées,Veysonnaz – Valais,https://snow.myswitzerland.com/snow_reports/veysonnaz-4-vallees-5/#piste,49.1/144.3 ,good-fair,12/40,2023-12-12,2023-12-12,0 ,0 ,6/18,1350 m (altitude),fair,0.00 ,41.0,400 ,82,Not Available,0.0 km,,,,,,,,2200 m (altitude),6,Passable,120.0,40.0,08:45 hr,16:30 hr,18.11.2023,14.04.2024,Veysonnaz , Valais,47.24,15.75,66.0,56.0,,33.0
Engelberg - Titlis,Engelberg – Lucerne - Lake Lucerne Region,https://snow.myswitzerland.com/snow_reports/engelberg-titlis-73/#piste,47.5/73.0 ,good,21/29,2023-12-10,2023-12-12,0 ,6 ,0/1,1050 m (altitude),closed,1.00 ,29.0,82 ,28,Not Available,0.0 km,1000-1200 m (altitude),Not Available,0.0/1.0 km,0.0/0.0 km,200/800 m,100%,0/3.5 km,1050 m (altitude),2,Good,118.0,24.0,08:30 hr,17:00 hr,18.11.2023,05.05.2024,Engelberg , Lucerne - Lake Lucerne Region,46.46,9.45,,,,
Adelboden,Adelboden – Bern Region,https://snow.myswitzerland.com/snow_reports/adelboden-102/#piste,45.6/101.8 ,good,18/38,2023-12-12,2023-12-12,2 ,12 ,4/10,Not Available,no info,6.80 ,66.0,210 ,70,Not Available,Not Available,1290-1964 m (altitude),Not Available,0/2.0 km,0.0/0.0 km,1665/4368 m,43%,0/2.2 km,Not Available,2,Passable,90.0,36.0,,,02.12.2023,05.05.2024,Adelboden , Bern Region,35.43,14.17,50.0,35.0,,20.0
