,Resort,Location,Link,Open Pistes km,Slope Condition,Open Lifts,Last snowfall in resort,Last snowfall in ski area,New snow in resort (past 24h),New snow in ski area (past 24h),Runs down to resort (open today / total),Runs down to (altitude),Condition of runs down to resort,Surface area of pistes,Number of local pistes,Pistes covered by lift pass (regional),Number of lifts in ski area,Runs floodlit today until,Length of floodlit runs,Winter walking paths from (altitude),Number of snow shoe trails open today,Conditions/events on the trails,Depth of snow on upper runs - cm,Depth of snow in resort - cm,Depth of snow on upper runs - inches,Depth of snow in resort - inches,Installations open from,Installations open until,Start of season:,End of season:,adult - CHF,young person - CHF,senior - CHF,children - CHF
0,Samnaun/Ischgl,['Samnaun – Graubünden'],https://snow.myswitzerland.com/snow_reports/samnaunischgl-157/#piste,204.0/239.0 ,good,40/46,2023-12-05,2023-12-05,0 cm,35 cm,4/6,–,fair,0.00 km²,85,239 km,45,–,–,–,0,Closed,100 cm,50 cm,39.37,19.69,08:30 hr,16:00 hr,23.11.2023,01.05.2024,72.- CHF,–,72.- CHF,45.- CHF
1,Engadin & St. Moritz,['St. Moritz – Graubünden'],https://snow.myswitzerland.com/snow_reports/engadin-st-moritz-65/#piste,126.5/330.3 ,good,26/59,2023-12-06,2023-12-06,0 cm,0 cm,6/15,–,no info,–,92,350 km,56,–,11.7 km,–,2,No notification,137 cm,55 cm,53.94,21.65,Not Available,Not Available,21.10.2023,05.05.2024,from 45.- CHF,from 29.50 CHF,–,from 15.- CHF
2,Verbier,['Verbier – Valais'],https://snow.myswitzerland.com/snow_reports/verbier-132/#piste,92.1/358.0 ,good,22/73,2023-12-08,2023-12-08,2 cm,2 cm,5/18,–,good,0.35 km²,101,412 km,82,–,0.0 km,2200 m (altitude),0,Good,91 cm,50 cm,35.83,19.69,08:45 hr,16:15 hr,04.11.2023,21.04.2024,from 83.- CHF,from 70.- CHF,–,from 41.- CHF
3,Thyon - 4 Vallées,['Les Collons Thyon – Valais'],https://snow.myswitzerland.com/snow_reports/thyon-4-vallees-143/#piste,92.1/358.0 ,good,22/73,2023-12-08,2023-12-08,0 cm,0 cm,5/18,1500 m (altitude),good,0.00 km²,101,220 km,84,–,0.0 km,2200 m (altitude),9,Good,100 cm,60 cm,39.37,23.62,08:30 hr,16:30 hr,17.11.2023,14.04.2024,73.- CHF,62.- CHF,–,37.- CHF
4,St. Moritz,['St. Moritz – Graubünden'],https://snow.myswitzerland.com/snow_reports/st-moritz-77/#piste,81.0/163.8 ,good,19/24,2023-12-06,2023-12-06,0 cm,0 cm,4/5,–,no info,–,37,350 km,56,–,0.0 km,–,1,No notification,90 cm,50 cm,35.43,19.69,07:45 hr,17:00 hr,25.11.2023,07.04.2024,from 45.- CHF,from 29.50 CHF,–,from 15.- CHF
5,Celerina/Engadin,['Celerina – Graubünden'],https://snow.myswitzerland.com/snow_reports/celerinaengadin-119/#piste,81.0/163.8 ,end of season,19/24,2023-12-05,2023-12-05,0 cm,0 cm,4/5,1730 m (altitude),no info,–,37,350 km,56,–,0.0 km,–,1,No notification,90 cm,50 cm,35.43,19.69,Not Available,Not Available,25.11.2023,07.04.2024,from 45.- CHF,from 29.50 CHF,–,from 15.- CHF
6,Klosters,['Klosters – Graubünden'],https://snow.myswitzerland.com/snow_reports/klosters-121/#piste,80.2/258.9 ,good,21/46,2023-12-06,2023-12-06,0 cm,0 cm,6/16,1560 m (altitude),good,6.64 km²,83,320 km,58,–,–,1191 m (altitude),0,Closed,135 cm,59 cm,53.15,23.23,Not Available,Not Available,25.11.2023,07.04.2024,77.- CHF,54.- CHF,–,31.- CHF
7,Davos,['Davos – Graubünden'],https://snow.myswitzerland.com/snow_reports/davos-69/#piste,80.2/258.9 ,good,21/46,2023-12-06,2023-12-06,0 cm,0 cm,6/16,1250 m (altitude),good,6.64 km²,83,320 km,85,–,–,1560 m (altitude),4,Good,135 cm,54 cm,53.15,21.26,08:15 hr,16:00 hr,10.11.2023,14.04.2024,77.- CHF,54.- CHF,77.- CHF,31.- CHF
8,Arosa Lenzerheide,['Lenzerheide – Graubünden'],https://snow.myswitzerland.com/snow_reports/arosa-lenzerheide-66/#piste,77.6/220.7 ,good,20/43,2023-12-06,2023-12-06,0 cm,0 cm,6/31,–,no info,–,134,225 km,43,–,0.0 km,–,3,Good,137 cm,60 cm,53.94,23.62,08:45 hr,16:00 hr,02.12.2023,14.04.2024,from 30.- CHF,from 17.- CHF,from 30.- CHF,from 14.- CHF
9,Arosa Lenzerheide,['Arosa – Graubünden'],https://snow.myswitzerland.com/snow_reports/arosa-lenzerheide-123/#piste,77.6/220.7 ,good,20/43,2023-12-04,2023-12-04,0 cm,0 cm,6/31,–,good,–,134,225 km,43,–,0.0 km,–,2,Good,70 cm,60 cm,27.56,23.62,Not Available,Not Available,02.12.2023,14.04.2024,from 30.- CHF,from 17.- CHF,from 30.- CHF,from 14.- CHF
